                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6053,                 10.945,                      0,                0.83817,                 1.1004,                0.99287,                      1,                  0.995,                0.91106,                      0,                      0,                      0,                      0,                0.47713,                 11.366,                      0,                0.40744,                 1.0607,                0.00012,                0.00012,                0.00012
                      2,                0.46953,                  10.89,                      0,                0.39964,                0.99531,                      1,                0.99169,                  0.995,                0.81052,                      0,                      0,                      0,                      0,                0.80463,                 11.404,                      0,                0.88714,                 1.4569,             0.00025743,             0.00025743,             0.00025743
                      3,                0.53496,                 10.692,                      0,                0.45273,                 1.0194,                 0.7288,                    0.9,                0.87882,                0.72471,                      0,                      0,                      0,                      0,                0.72327,                 11.192,                      0,                 1.0232,                 1.4535,             0.00039208,             0.00039208,             0.00039208
                      4,                0.44528,                 10.576,                      0,                0.38124,                0.97587,                0.78585,                    0.8,                0.89667,                0.58851,                      0,                      0,                      0,                      0,                 1.0476,                 11.104,                      0,                0.88017,                  1.799,             0.00052396,             0.00052396,             0.00052396
                      5,                0.55086,                 9.9368,                      0,                0.43768,                 1.0409,                      1,                0.89512,                0.95056,                0.60804,                      0,                      0,                      0,                      0,                 1.1693,                 11.078,                      0,                 1.0671,                 1.9061,             0.00065307,             0.00065307,             0.00065307
                      6,                0.51131,                 9.8436,                      0,                0.42165,                0.97429,                0.91586,                    0.9,                0.97192,                0.58376,                      0,                      0,                      0,                      0,                 1.1929,                 11.018,                      0,                 1.3054,                 2.1003,             0.00077941,             0.00077941,             0.00077941
                      7,                0.51035,                 9.7123,                      0,                0.45236,                0.96606,                0.96349,                    0.6,                 0.7379,                0.50548,                      0,                      0,                      0,                      0,                 1.2202,                 10.827,                      0,                 1.2724,                 1.8449,             0.00090298,             0.00090298,             0.00090298
                      8,                0.55029,                 9.5222,                      0,                0.47067,                0.99414,                0.91054,                    0.6,                 0.7884,                0.35454,                      0,                      0,                      0,                      0,                 1.7497,                 10.946,                      0,                 2.1433,                 2.9666,              0.0010238,              0.0010238,              0.0010238
                      9,                0.57418,                 9.2079,                      0,                0.49091,                 1.0009,                0.75554,                    0.8,                0.87534,                0.61547,                      0,                      0,                      0,                      0,                 1.1453,                 11.051,                      0,                 2.9601,                 2.1767,              0.0011418,              0.0011418,              0.0011418
                     10,                0.54009,                  9.235,                      0,                0.44114,                 1.0026,                0.49197,                    0.9,                 0.8256,                0.45353,                      0,                      0,                      0,                      0,                 1.3426,                 10.972,                      0,                 5.3502,                  2.504,               0.001257,               0.001257,               0.001257
                     11,                 0.5385,                 8.8154,                      0,                0.44387,                0.96742,                0.76837,                0.99555,                0.88556,                0.50665,                      0,                      0,                      0,                      0,                  1.449,                 11.004,                      0,                 4.5504,                 2.3717,              0.0013695,              0.0013695,              0.0013695
                     12,                0.54135,                 9.1278,                      0,                0.44734,                 1.0003,                0.53885,                    0.8,                0.77045,                0.42249,                      0,                      0,                      0,                      0,                 1.7257,                 11.184,                      0,                 4.8171,                 3.0155,              0.0014792,              0.0014792,              0.0014792
                     13,                0.64647,                 8.3151,                      0,                0.50319,                 1.0684,                0.44068,                    0.9,                0.69412,                0.35974,                      0,                      0,                      0,                      0,                 2.0232,                   11.2,                      0,                 5.2498,                 3.4474,              0.0015862,              0.0015862,              0.0015862
                     14,                0.56199,                  8.337,                      0,                0.46916,                0.99529,                0.68788,                    0.7,                0.60307,                0.38401,                      0,                      0,                      0,                      0,                   1.72,                 10.749,                      0,                 2.2583,                 2.6864,              0.0016903,              0.0016903,              0.0016903
                     15,                0.54513,                   8.27,                      0,                0.44475,                0.98281,                0.61524,                0.48177,                0.47186,                0.28688,                      0,                      0,                      0,                      0,                 1.9178,                 10.903,                      0,                 1.6786,                 2.4057,              0.0017228,              0.0017228,              0.0017228
                     16,                0.54374,                 8.1162,                      0,                0.43678,                0.99809,                0.75374,                    0.6,                0.76874,                0.45521,                      0,                      0,                      0,                      0,                 1.3201,                 10.653,                      0,                  2.116,                 2.1223,              0.0017228,              0.0017228,              0.0017228
                     17,                0.47634,                  8.246,                      0,                 0.4205,                0.92489,                0.56806,                0.52813,                0.69133,                 0.4676,                      0,                      0,                      0,                      0,                 1.2469,                 10.493,                      0,                 2.5236,                 2.0903,               0.001703,               0.001703,               0.001703
                     18,                0.55765,                 8.0808,                      0,                 0.4608,                0.98882,                0.72432,                    0.5,                0.56909,                0.31079,                      0,                      0,                      0,                      0,                 1.7763,                 10.839,                      0,                  2.009,                 2.7548,              0.0016832,              0.0016832,              0.0016832
                     19,                0.60527,                 8.0176,                      0,                0.46192,                 1.0228,                0.72946,                    0.7,                0.79025,                0.43214,                      0,                      0,                      0,                      0,                 1.5808,                 10.227,                      0,                 1.7316,                 2.5626,              0.0016634,              0.0016634,              0.0016634
                     20,                0.57126,                 7.6732,                      0,                0.46671,                0.98527,                0.88426,                    0.6,                0.70036,                0.33118,                      0,                      0,                      0,                      0,                 1.8217,                 10.442,                      0,                 1.9624,                 2.6948,              0.0016436,              0.0016436,              0.0016436
                     21,                0.50677,                 7.9466,                      0,                0.41618,                0.94654,                 0.8624,                    0.6,                0.68865,                 0.3309,                      0,                      0,                      0,                      0,                  1.823,                 10.361,                      0,                 1.9945,                 2.7153,              0.0016238,              0.0016238,              0.0016238
                     22,                0.50436,                  7.463,                      0,                0.41709,                0.97879,                0.55161,                    0.6,                0.40985,                0.25686,                      0,                      0,                      0,                      0,                 1.9694,                 10.194,                      0,                 1.6691,                  2.873,               0.001604,               0.001604,               0.001604
                     23,                0.55399,                 7.2391,                      0,                0.43974,                 1.0224,                0.66491,                    0.5,                0.47709,                0.26256,                      0,                      0,                      0,                      0,                 2.2089,                  10.69,                      0,                 1.9788,                 2.9484,              0.0015842,              0.0015842,              0.0015842
                     24,                0.51937,                 7.0093,                      0,                0.40912,                 1.0013,                 0.8207,                    0.5,                0.68796,                 0.4093,                      0,                      0,                      0,                      0,                  1.951,                 10.371,                      0,                 1.3227,                 2.5994,              0.0015644,              0.0015644,              0.0015644
                     25,                0.53674,                 7.1325,                      0,                0.45262,                 1.0043,                0.72633,                    0.6,                0.67414,                0.44137,                      0,                      0,                      0,                      0,                 1.6095,                 10.276,                      0,                 1.1582,                 2.3417,              0.0015446,              0.0015446,              0.0015446
                     26,                0.52481,                 7.0343,                      0,                0.40525,                 0.9869,                0.72188,                    0.7,                0.64861,                0.32837,                      0,                      0,                      0,                      0,                 1.8967,                 10.402,                      0,                  1.383,                 2.5272,              0.0015248,              0.0015248,              0.0015248
                     27,                0.48031,                 6.9734,                      0,                0.37028,                 0.9749,                0.70513,                    0.5,                0.62857,                0.41752,                      0,                      0,                      0,                      0,                 1.5299,                 9.9084,                      0,                 1.4068,                 1.9891,               0.001505,               0.001505,               0.001505
                     28,                0.47429,                 6.6339,                      0,                0.37296,                0.96044,                0.80178,                    0.5,                0.58794,                0.43285,                      0,                      0,                      0,                      0,                 1.5466,                 10.149,                      0,                 1.4615,                 2.0164,              0.0014852,              0.0014852,              0.0014852
                     29,                0.45594,                 6.6683,                      0,                0.35617,                0.94418,                0.64348,                    0.6,                0.62414,                0.46983,                      0,                      0,                      0,                      0,                 1.5079,                 10.016,                      0,                 1.2251,                 2.1366,              0.0014654,              0.0014654,              0.0014654
                     30,                0.46206,                 6.1426,                      0,                0.36956,                 0.9387,                      1,                0.55837,                0.75502,                0.53443,                      0,                      0,                      0,                      0,                 1.4091,                 10.326,                      0,                0.97293,                 2.1324,              0.0014456,              0.0014456,              0.0014456
                     31,                0.46085,                 6.2808,                      0,                0.38543,                0.96586,                  0.713,                0.99417,                0.85474,                0.54156,                      0,                      0,                      0,                      0,                  1.283,                  10.13,                      0,                0.95768,                 2.1252,              0.0014258,              0.0014258,              0.0014258
                     32,                0.45202,                 5.7096,                      0,                0.34803,                0.94479,                0.71347,                    0.6,                0.74147,                0.48116,                      0,                      0,                      0,                      0,                 1.5359,                 9.9501,                      0,                 1.0681,                 2.4247,               0.001406,               0.001406,               0.001406
                     33,                0.47447,                 6.1083,                      0,                0.38347,                0.94799,                      1,                0.58263,                0.67504,                0.46235,                      0,                      0,                      0,                      0,                 1.6397,                 9.9275,                      0,                 1.0627,                 2.4908,              0.0013862,              0.0013862,              0.0013862
                     34,                0.49391,                 6.3651,                      0,                0.39158,                0.99342,                0.65912,                    0.6,                0.60714,                  0.435,                      0,                      0,                      0,                      0,                 1.5807,                 9.9855,                      0,                 1.2362,                 2.3272,              0.0013664,              0.0013664,              0.0013664
                     35,                0.46096,                 5.7544,                      0,                 0.3833,                0.95908,                0.55447,                    0.5,                0.57282,                0.42054,                      0,                      0,                      0,                      0,                 1.5581,                 9.7618,                      0,                 1.2308,                 2.3476,              0.0013466,              0.0013466,              0.0013466
                     36,                0.50165,                 6.4084,                      0,                0.40397,                0.97325,                0.62404,                    0.5,                0.55402,                0.35567,                      0,                      0,                      0,                      0,                 1.6908,                 9.7538,                      0,                  1.508,                 2.5359,              0.0013268,              0.0013268,              0.0013268
                     37,                0.45073,                 5.8572,                      0,                0.36942,                0.94112,                 0.6479,                    0.5,                0.55839,                0.38645,                      0,                      0,                      0,                      0,                  1.816,                 9.7804,                      0,                 1.6217,                  2.553,               0.001307,               0.001307,               0.001307
                     38,                0.49298,                 5.9982,                      0,                0.39198,                0.97076,                0.74293,                    0.6,                0.67356,                0.46698,                0.31731,                    0.1,                0.09921,                0.00992,                 1.6457,                 9.8303,                      0,                 1.5942,                 2.3964,              0.0012872,              0.0012872,              0.0012872
                     39,                0.47534,                 5.6304,                      0,                0.39499,                0.96645,                0.51035,                    0.8,                0.71732,                0.41338,                      0,                      0,                      0,                      0,                 1.5948,                 10.127,                      0,                   1.42,                 2.2765,              0.0012674,              0.0012674,              0.0012674
                     40,                0.45784,                 5.8947,                      0,                0.36317,                0.97433,                0.53416,                0.68882,                0.69577,                0.47449,                      0,                      0,                      0,                      0,                 1.3418,                 10.812,                      0,                 1.3838,                 2.0522,              0.0012476,              0.0012476,              0.0012476
                     41,                0.49494,                  6.074,                      0,                0.36178,                0.99458,                0.69186,                0.89827,                0.85031,                0.56786,                      0,                      0,                      0,                      0,                 1.3163,                 10.757,                      0,                 1.0502,                  2.119,              0.0012278,              0.0012278,              0.0012278
                     42,                0.44326,                 5.9523,                      0,                0.34898,                0.96177,                0.80434,                    0.9,                0.90506,                0.63542,                      0,                      0,                      0,                      0,                 1.3054,                  10.58,                      0,                 1.0496,                 2.1207,               0.001208,               0.001208,               0.001208
                     43,                 0.4769,                 5.7891,                      0,                0.37266,                0.96772,                0.61163,                    0.7,                0.71189,                0.54163,                      0,                      0,                      0,                      0,                 1.4712,                 10.684,                      0,                 1.5775,                 2.2917,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.4151,                 5.8002,                      0,                0.33978,                0.94098,                0.52036,                0.65295,                 0.6456,                0.51176,                      0,                      0,                      0,                      0,                 1.6518,                 10.371,                      0,                 2.1802,                 2.4658,              0.0011684,              0.0011684,              0.0011684
                     45,                0.42946,                 5.7442,                      0,                0.36197,                0.94257,                0.65309,                0.56741,                0.76304,                0.53425,                      0,                      0,                      0,                      0,                  1.657,                 10.197,                      0,                 2.2378,                 2.3967,              0.0011486,              0.0011486,              0.0011486
                     46,                0.46849,                  5.994,                      0,                0.37772,                0.97163,                0.73152,                0.54824,                0.77318,                0.53974,                      0,                      0,                      0,                      0,                 1.5591,                 10.231,                      0,                 2.0221,                 2.2376,              0.0011288,              0.0011288,              0.0011288
                     47,                0.43314,                 5.6228,                      0,                0.35434,                0.92256,                0.59992,                    0.5,                0.62706,                0.44002,                      0,                      0,                      0,                      0,                 1.3515,                 10.284,                      0,                 1.6043,                 2.0248,               0.001109,               0.001109,               0.001109
                     48,                0.38408,                 5.6452,                      0,                0.32374,                0.91102,                0.98394,                    0.5,                 0.7507,                0.52801,                0.75915,                    0.2,                0.21955,                0.03421,                 1.3625,                 9.6215,                      0,                 1.5181,                 2.1213,              0.0010892,              0.0010892,              0.0010892
                     49,                0.37557,                 5.5243,                      0,                0.31036,                0.89238,                0.75011,                    0.7,                 0.7162,                0.49003,                0.65464,                    0.2,                0.22031,                0.05023,                 1.4513,                 9.5665,                      0,                 1.7161,                  2.265,              0.0010694,              0.0010694,              0.0010694
                     50,                0.41926,                 5.3541,                      0,                0.34603,                0.94229,                0.85722,                    0.7,                0.79357,                0.52517,                0.29369,                    0.1,                0.05333,                0.01067,                 1.1989,                 9.7217,                      0,                 1.5611,                 2.0172,              0.0010496,              0.0010496,              0.0010496
                     51,                0.42734,                 5.5204,                      0,                0.35766,                0.92141,                      1,                0.77535,                0.84167,                0.52292,                0.60235,                    0.2,                   0.24,                  0.024,                 1.1818,                 9.6822,                      0,                 1.7643,                  1.939,              0.0010298,              0.0010298,              0.0010298
